Longitude	Latitude	Elevation	Elevation	HCP1	PRP1	HCP2	PRP2	VpH	VEC_s	VEC_d	TWI
-75.751175	45.110040	59.38	59.38	30.38	17.46	31.16	25.92	5.86	23.39	26.54	10.99
-75.751218	45.110070	59.43	59.43	30.30	17.36	31.16	25.76	5.84	23.54	26.61	10.97
-75.751255	45.110103	59.48	59.48	30.06	17.36	31.00	25.58	5.85	23.69	26.56	11.06
-75.751292	45.110133	59.51	59.51	29.82	17.18	30.20	25.38	5.85	23.91	26.41	11.22
-75.751333	45.110165	59.54	59.54	28.92	16.30	29.86	24.58	5.86	24.21	26.32	11.33
-75.751370	45.110197	59.59	59.59	27.80	15.58	29.16	23.70	5.86	24.35	25.93	11.69
-75.751408	45.110227	59.60	59.60	27.50	15.58	28.44	23.02	5.87	24.79	26.00	11.69
-75.751447	45.110257	59.61	59.61	27.40	15.62	28.18	23.02	5.88	25.22	26.27	11.66
-75.751483	45.110288	59.60	59.60	27.24	15.62	28.18	23.08	5.89	25.57	26.43	11.66
-75.751525	45.110320	59.58	59.58	27.24	15.68	28.10	23.14	5.90	25.81	26.41	11.90
-75.751565	45.110353	59.58	59.58	27.24	15.62	28.10	23.20	5.90	26.02	26.48	12.00
-75.751605	45.110385	59.61	59.61	27.10	15.62	28.00	23.20	5.90	25.95	26.27	12.09
-75.751643	45.110418	59.63	59.63	26.68	15.60	27.42	22.72	5.91	26.05	26.27	12.20
-75.751683	45.110450	59.63	59.63	26.68	15.20	27.08	22.30	5.91	26.09	26.16	12.12
